year;composer;title;accompaniment;movements;permalink;trebleclef;tempo_1;minSPN_1;maxSPN_1;minMIDI_1;maxMIDI_1;ambitus_1;tempo_2;minSPN_2;maxSPN_2;minMIDI_2;maxMIDI_2;ambitus_2;tempo_3;minSPN_3;maxSPN_3;minMIDI_3;maxMIDI_3;ambitus_3;tempo_4;minSPN_4;maxSPN_4;minMIDI_4;maxMIDI_4;ambitus_4;minSPN_work;maxSPN_work;minMIDI_work;maxMIDI_work;ambitus_work
1799;Ries, Ferdinand;Cello Sonata, WoO 2;piano;3;https://imslp.org/wiki/Special:ReverseLookup/596525;8vb;Grave - Allegro;C2;C5;36;72;36;Adagio;C2;Db5;36;73;37;Finale. Prestissimo;C2;B4;36;71;35; ; ; ; ; ;0;C2;Db5;36;73;37
1808;Beethoven, Ludwig van;Cello Sonata No.3, Op.69;piano;3;https://imslp.org/wiki/Special:ReverseLookup/314760;Loco;Allegro, ma non tanto;C#2;E5;37;76;39;Scherzo. Allegro molto;E2;E5;40;76;36;Adagio cantabile - Allegro vivace;C2;F#5;36;78;42; ; ; ; ; ;0;C2;F#5;36;78;42
1808;Ries, Ferdinand;Cello Sonata, Op.20;piano;3;https://imslp.org/wiki/Special:ReverseLookup/450514;8vb;Allegro con brio;C2;D5;36;74;38;Adagio;C#2;F4;37;65;28;Polonæse. Allegretto moderato;C2;C5;36;72;36; ; ; ; ; ;0;C2;D5;36;74;38
1808;Ries, Ferdinand;Cello Sonata, Op.21;piano;4;https://imslp.org/wiki/Special:ReverseLookup/450519;8vb;Allegro;C2;D5;36;74;38;Andante quasi Allegretto (D major);C#2;C5;37;72;35;Menuetto. Allegretto- Trio;C2;E5;36;76;40;Rondo. Allegro ma non troppo (A minor);C2;F5;36;77;41;C2;F5;36;77;41
1815;Beethoven, Ludwig van;Cello Sonata No.4, Op.102 No.1;piano;2;https://imslp.org/wiki/Special:ReverseLookup/314761;Loco;Andante - Allegro vivace;C2;F5;36;77;41;Adagio - Allegro vivace;C2;G5;36;79;43; ; ; ; ; ;0; ; ; ; ; ;0;C2;G5;36;79;43
1815;Beethoven, Ludwig van;Cello Sonata No.5, Op.102 No.2;piano;3;https://imslp.org/wiki/Special:ReverseLookup/314762;None;Allegro con brio;C2;B4;36;71;35;Adagio con molto sentimento d'affetto;C2;D5;36;74;38;Allegro - Allegro fugato;C#2;C5;37;72;35; ; ; ; ; ;0;C2;D5;36;74;38
1820;Onslow, George;3 Cello Sonatas, Op.16 (Nr.1);piano;3;https://imslp.org/wiki/Special:ReverseLookup/436040;8vb;Allegro;C2;A5;36;81;45;Andante;D2;Eb5;38;75;37;Finale. Allegretto;C2;Eb5;36;75;39; ; ; ; ; ;0;C2;A5;36;81;45
1823;Ries, Ferdinand;Cello Sonata, Op.125;piano;3;https://imslp.org/wiki/Special:ReverseLookup/450681;Loco;Grave - Allegro;C2;D5;36;74;38;Larghetto con moto;C#2;G5;37;79;42;Rondo. Allegretto;C2;F5;36;77;41; ; ; ; ; ;0;C2;G5;36;79;43
1824;Hummel, Johann Nepomuk;Cello Sonata in A major, Op. 104;piano;3;https://imslp.org/wiki/Special:ReverseLookup/220555;None;Allegro cantabile e grazioso;C2;E5;36;76;40;Romanza, un poco adagio;C2;C5;36;72;36;Rondo, allegro vivacetto;C2;E5;36;76;40; ; ; ; ; ;0;C2;E5;36;76;40
1826;Lachner, Franz Paul;Cello Sonata, Op.14;piano;3;https://imslp.org/wiki/Special:ReverseLookup/113906;Loco;Allegro con brio;B#1;A5;36;81;45;Scherzo. Allegro assai - Trio;E2;E5;40;76;36;Fantasi. Andante maestoso;C2;A6;36;93;57; ; ; ; ; ;0;B#1;A6;36;93;57
