year;composer;title;accompaniment;movements;permalink;trebleclef;scope;minSPN;maxSPN;minMIDI;maxMIDI;ambitus;tempo
1740;Barrière, Jean-Baptiste;6 Cello Sonatas, Livre 4 (Nr. 5);continuo;3;https://imslp.org/wiki/Special:ReverseLookup/298122;None;5;C2;E5;36;76;40; 
1740;Dall'Abaco, Joseph;12 Cello Sonatas (Nr. 12);continuo;4;https://imslp.org/wiki/Special:ReverseLookup/887248;None;1;F#3;E5;54;76;22;N/A
1740;Dall'Abaco, Joseph;12 Cello Sonatas (Nr. 12);continuo;4;https://imslp.org/wiki/Special:ReverseLookup/887248;None;2;C2;G5;36;79;43;Allegro
1740;Dall'Abaco, Joseph;12 Cello Sonatas (Nr. 12);continuo;4;https://imslp.org/wiki/Special:ReverseLookup/887248;None;3;D3;D5;50;74;24;Larghetto
1740;Dall'Abaco, Joseph;12 Cello Sonatas (Nr. 12);continuo;4;https://imslp.org/wiki/Special:ReverseLookup/887248;None;4;D2;A5;38;81;43;Allegro
1740;Dall'Abaco, Joseph;12 Cello Sonatas (Nr. 12);continuo;4;https://imslp.org/wiki/Special:ReverseLookup/887248;None;5;C2;A5;36;81;45; 
1740;Dall'Abaco, Joseph;12 Cello Sonatas (Nr. 8);continuo;3;https://imslp.org/wiki/Special:ReverseLookup/887248;None;1;F#2;D5;42;74;32;Allegro
1740;Dall'Abaco, Joseph;12 Cello Sonatas (Nr. 8);continuo;3;https://imslp.org/wiki/Special:ReverseLookup/887248;None;2;Eb3;Bb4;51;70;19;Grave
1740;Dall'Abaco, Joseph;12 Cello Sonatas (Nr. 8);continuo;3;https://imslp.org/wiki/Special:ReverseLookup/887248;None;3;F#2;E5;42;76;34;Giga Allegro
1740;Dall'Abaco, Joseph;12 Cello Sonatas (Nr. 8);continuo;3;https://imslp.org/wiki/Special:ReverseLookup/887248;None;4; ; ; ; ; ; 
1740;Dall'Abaco, Joseph;12 Cello Sonatas (Nr. 8);continuo;3;https://imslp.org/wiki/Special:ReverseLookup/887248;None;5;F#2;E5;42;76;34; 
1756;Baur, Jean;6 Cello Sonatas, Op.2 (Nr. 1);continuo;3;https://imslp.org/wiki/Special:ReverseLookup/166650;None;1;D2;A4;38;69;31;Pocco Allegro
1756;Baur, Jean;6 Cello Sonatas, Op.2 (Nr. 1);continuo;3;https://imslp.org/wiki/Special:ReverseLookup/166650;None;2;E3;A4;52;69;17;Cantabile
1756;Baur, Jean;6 Cello Sonatas, Op.2 (Nr. 1);continuo;3;https://imslp.org/wiki/Special:ReverseLookup/166650;None;3;G#2;B4;44;71;27;Minuetti
1756;Baur, Jean;6 Cello Sonatas, Op.2 (Nr. 1);continuo;3;https://imslp.org/wiki/Special:ReverseLookup/166650;None;4; ; ; ; ; ; 
1756;Baur, Jean;6 Cello Sonatas, Op.2 (Nr. 1);continuo;3;https://imslp.org/wiki/Special:ReverseLookup/166650;None;5;D2;B4;38;71;33; 
1760;Chiabrano, Gaspare Giuseppe Gaetano;Cello Sonata No.2 in C major;continuo;3;https://imslp.org/wiki/Special:ReverseLookup/545959;None;1;C2;G4;36;67;31;Allegro
